date,airport,direction,time,destination,flight,airline,duration,crosscheck_found,airline_match,aircraft,status,reason,scraped_at,crosschecked_at
2026-02-10,HKT,departure,10:00,BKK Bangkok,FD4125,Thai AirAsia,1h 35m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:03.259957,2026-02-09T20:27:58.411013
2026-02-10,HKT,departure,10:05,SIN Singapore,SQ725,Singapore Airlines,2h 5m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:03.324964,2026-02-09T20:27:58.411191
2026-02-10,HKT,departure,10:15,CNX Chiang Mai,FD3161,Thai AirAsia,1h 55m,True,True,,OK,route_and_airline_match,2026-02-09T13:37:03.405992,2026-02-09T20:27:58.460436
2026-02-10,HKT,departure,10:15,BKK Bangkok,PG272,Bangkok Airways,1h 35m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:03.472703,2026-02-09T20:27:58.460457
2026-02-10,HKT,departure,10:20,BKK Bangkok,VZ301,Vietjet Thailand,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:03.536880,2026-02-09T20:27:58.460465
2026-02-10,HKT,departure,10:25,BKK Bangkok,TG204,Thai Airways,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:03.601623,2026-02-09T20:27:58.460471
2026-02-10,HKT,departure,10:30,FRA Frankfurt,DE2369,Condor,12h 50m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:03.668076,2026-02-09T20:28:15.353311
2026-02-10,HKT,departure,10:30,KUL Kuala Lumpur,MH787,Malaysia Airlines,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:03.732253,2026-02-09T20:28:15.353494
2026-02-10,HKT,departure,10:45,ALA Almaty,KC564,Air Astana,7h 25m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:03.796826,2026-02-09T20:28:32.883458
2026-02-10,HKT,departure,10:45,HEL Helsinki,AY152,Finnair,12h 45m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:03.861013,2026-02-09T20:28:50.204042
2026-02-10,HKT,departure,10:55,SIN Singapore,TR679,Scoot,2h 0m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:03.927649,2026-02-09T20:28:50.204078
2026-02-10,HKT,departure,11:00,USM Koh Samui,PG254,Bangkok Airways,0h 55m,True,True,,OK,route_and_airline_match,2026-02-09T13:37:03.994183,2026-02-09T20:28:50.669046
2026-02-10,HKT,departure,11:00,HKG Hong Kong,UO725,HK Express,3h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:04.058785,2026-02-09T20:29:06.886272
2026-02-10,HKT,departure,11:05,BOM Mumbai,6E1072,IndiGo,4h 35m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:04.123711,2026-02-09T20:29:23.809225
2026-02-10,HKT,departure,11:05,SIN Singapore,SQ727,Singapore Airlines,2h 0m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:04.188073,2026-02-09T20:29:23.809238
2026-02-10,HKT,departure,11:10,SVO Moscow,SU279,Aeroflot,10h 10m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:04.253062,2026-02-09T20:29:40.392080
2026-02-10,HKT,departure,11:25,SHJ Sharjah,G9700,Air Arabia,6h 50m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:04.319212,2026-02-09T20:29:40.392108
2026-02-10,HKT,departure,11:30,DMK Bangkok,DD525,Nok Air,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:04.384537,2026-02-09T20:29:40.392146
2026-02-10,HKT,departure,11:30,KUL Kuala Lumpur,AK833,AirAsia,1h 35m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:04.451828,2026-02-09T20:29:40.392172
2026-02-10,HKT,departure,11:35,DMK Bangkok,SL759,Thai Lion Air,1h 20m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:04.519200,2026-02-09T20:29:40.392178
2026-02-10,HKT,departure,11:45,DMK Bangkok,FD3030,Thai AirAsia,1h 25m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:04.586085,2026-02-09T20:29:40.392194
2026-02-10,HKT,departure,11:50,BKK Bangkok,TG206,Thai Airways,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:04.653461,2026-02-09T20:29:40.392205
2026-02-10,HKT,departure,11:55,CDG Paris,AF157,Air France,13h 20m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:04.721913,2026-02-09T20:29:58.068016
2026-02-10,HKT,departure,12:10,SVO Moscow,SU285,Aeroflot,10h 15m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:04.801940,2026-02-09T20:29:58.068123
2026-02-10,HKT,departure,12:20,HKG Hong Kong,CX770,Cathay Pacific,3h 45m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:04.868126,2026-02-09T20:29:58.068161
2026-02-10,HKT,departure,12:20,DMK Bangkok,SL755,Thai Lion Air,1h 20m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:04.933816,2026-02-09T20:29:58.068195
2026-02-10,HKT,departure,12:25,BKK Bangkok,VZ305,Vietjet Thailand,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:04.998001,2026-02-09T20:29:58.068209
2026-02-10,HKT,departure,12:35,DEL Delhi,6E1074,IndiGo,4h 40m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:05.060912,2026-02-09T20:29:58.068262
2026-02-10,HKT,departure,12:35,LED Saint Petersburg,SU629,Aeroflot,11h 20m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:05.123546,2026-02-09T20:30:15.131179
2026-02-10,HKT,departure,12:35,SIN Singapore,SL102,Thai Lion Air,2h 5m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:05.185185,2026-02-09T20:30:15.131222
2026-02-10,HKT,departure,12:40,HYD Hyderabad,IX937,Air India Express,3h 45m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:05.249034,2026-02-09T20:30:31.535921
2026-02-10,HKT,departure,12:55,USM Koh Samui,PG250,Bangkok Airways,0h 55m,True,True,,OK,route_and_airline_match,2026-02-09T13:37:05.313534,2026-02-09T20:30:31.980158
2026-02-10,HKT,departure,13:20,DMK Bangkok,FD3092,Thai AirAsia,1h 35m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:05.378398,2026-02-09T20:30:31.980190
2026-02-10,HKT,departure,13:20,KUL Kuala Lumpur,OD541,Batik Air,1h 40m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:05.443496,2026-02-09T20:30:31.980215
2026-02-10,HKT,departure,13:25,CNX Chiang Mai,VZ417,Vietjet Thailand,2h 15m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:05.507635,2026-02-09T20:30:31.980242
2026-02-10,HKT,departure,13:30,BLR Bengaluru,6E1076,IndiGo,3h 40m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:05.571457,2026-02-09T20:30:48.965382
2026-02-10,HKT,departure,13:30,BKK Bangkok,VZ2303,Vietjet Thailand,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:05.632795,2026-02-09T20:30:48.965448
2026-02-10,HKT,departure,13:35,KUL Kuala Lumpur,AK825,AirAsia,1h 35m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:05.695295,2026-02-09T20:30:48.965459
2026-02-10,HKT,departure,13:40,BKK Bangkok,TG208,Thai Airways,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:05.758543,2026-02-09T20:30:48.965472
2026-02-10,HKT,departure,14:00,TFU Chengdu,CA414,Air China,4h 5m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:05.822403,2026-02-09T20:30:48.965496
2026-02-10,HKT,departure,14:10,SGN Ho Chi Minh City,VJ808,VietJet,1h 55m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:05.887189,2026-02-09T20:31:06.629853
2026-02-10,HKT,departure,14:15,USM Koh Samui,PG402,Bangkok Airways,0h 55m,True,True,,OK,route_and_airline_match,2026-02-09T13:37:05.948852,2026-02-09T20:31:07.118842
2026-02-10,HKT,departure,14:15,PVG Shanghai,9C8522,Spring Airlines,4h 40m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:06.011404,2026-02-09T20:31:07.118875
2026-02-10,HKT,departure,14:20,BKK Bangkok,FD4111,Thai AirAsia,1h 35m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:06.075239,2026-02-09T20:31:07.118886
2026-02-10,HKT,departure,14:25,SAI Siem Reap,FD612,Thai AirAsia,1h 40m,True,True,Airbus A320,OK,route_and_airline_match,2026-02-09T13:37:06.138508,2026-02-09T20:31:25.325274
2026-02-10,HKT,departure,14:25,DMK Bangkok,SL757,Thai Lion Air,1h 20m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:06.201449,2026-02-09T20:31:25.325663
2026-02-10,HKT,departure,14:30,SVO Moscow,SU277,Aeroflot,10h 15m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:06.264403,2026-02-09T20:31:25.325836
2026-02-10,HKT,departure,14:35,TLV Tel Aviv-Yafo,LY88,El Al,11h 5m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:06.325321,2026-02-09T20:31:41.913560
2026-02-10,HKT,departure,14:40,DMK Bangkok,FD3006,Thai AirAsia,1h 25m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:06.383597,2026-02-09T20:31:41.913726
2026-02-10,HKT,departure,14:45,PER Perth,JQ72,Jetstar,6h 25m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:06.443158,2026-02-09T20:31:58.331332
2026-02-10,HKT,departure,14:55,SIN Singapore,SQ731,Singapore Airlines,2h 0m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:06.502463,2026-02-09T20:31:58.331861
2026-02-10,HKT,departure,15:00,BKK Bangkok,PG274,Bangkok Airways,1h 35m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:06.560963,2026-02-09T20:31:58.332000
2026-02-10,HKT,departure,15:05,PVG Shanghai,HO1324,Juneyao Airlines,4h 55m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:06.625260,2026-02-09T20:31:58.332115
2026-02-10,HKT,departure,15:10,UTP Utapao,PG282,Bangkok Airways,1h 40m,True,True,ATR 42 / ATR 72,OK,route_and_airline_match,2026-02-09T13:37:06.688118,2026-02-09T20:32:15.124435
2026-02-10,HKT,departure,15:20,UTH Udon Thani,FD3170,Thai AirAsia,1h 55m,True,True,Airbus A320,OK,route_and_airline_match,2026-02-09T13:37:06.745645,2026-02-09T20:32:32.867182
2026-02-10,HKT,departure,15:20,NGB Ningbo,9C7066,Spring Airlines,4h 35m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:06.803861,2026-02-09T20:32:49.829746
2026-02-10,HKT,departure,15:25,PVG Shanghai,FM7288,Shanghai Airlines,4h 50m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:06.860494,2026-02-09T20:32:49.829771
2026-02-10,HKT,departure,15:30,AUH Abu Dhabi,EY417,Etihad,7h 5m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:06.917857,2026-02-09T20:32:49.829804
2026-02-10,HKT,departure,15:30,DMK Bangkok,FD3026,Thai AirAsia,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:06.975930,2026-02-09T20:32:49.829825
2026-02-10,HKT,departure,15:55,PEN Penang,QR840,Qatar Airways,1h 5m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:07.033411,2026-02-09T20:33:07.466478
2026-02-10,HKT,departure,15:55,DMK Bangkok,DD527,Nok Air,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:07.090772,2026-02-09T20:33:07.466490
2026-02-10,HKT,departure,15:55,HKG Hong Kong,HX742,Hong Kong Airlines,3h 15m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:07.146402,2026-02-09T20:33:07.466558
2026-02-10,HKT,departure,16:00,PVG Shanghai,9C8666,Spring Airlines,4h 50m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:07.203126,2026-02-09T20:33:07.466569
2026-02-10,HKT,departure,16:00,BKK Bangkok,VZ2301,Vietjet Thailand,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:07.259298,2026-02-09T20:33:07.466610
2026-02-10,HKT,departure,16:05,BKK Bangkok,TG212,Thai Airways,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:07.316841,2026-02-09T20:33:07.466623
2026-02-10,HKT,departure,16:20,BKK Bangkok,FD4113,Thai AirAsia,1h 35m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:07.373545,2026-02-09T20:33:07.466629
2026-02-10,HKT,departure,16:35,USM Koh Samui,PG256,Bangkok Airways,0h 55m,True,True,,OK,route_and_airline_match,2026-02-09T13:37:07.429564,2026-02-09T20:33:07.958435
2026-02-10,HKT,departure,16:45,OSL Oslo,N096,Norse,13h 10m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:07.487769,2026-02-09T20:33:26.536829
2026-02-10,HKT,departure,16:45,BOM Mumbai,QP619,Akasa Air,4h 50m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:07.544409,2026-02-09T20:33:26.537040
2026-02-10,HKT,departure,16:50,DMK Bangkok,FD3094,Thai AirAsia,1h 25m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:07.601114,2026-02-09T20:33:26.537113
2026-02-10,HKT,departure,16:55,KUL Kuala Lumpur,MH795,Malaysia Airlines,1h 35m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:07.658262,2026-02-09T20:33:26.537167
2026-02-10,HKT,departure,17:00,BLR Bengaluru,QP624,Akasa Air,4h 20m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:07.715062,2026-02-09T20:33:26.537240
2026-02-10,HKT,departure,17:00,HGH Hangzhou,CA718,Air China,4h 45m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:07.772118,2026-02-09T20:33:43.330058
2026-02-10,HKT,departure,17:00,DMK Bangkok,SL767,Thai Lion Air,1h 20m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:07.828937,2026-02-09T20:33:43.330100
2026-02-10,HKT,departure,17:05,KUL Kuala Lumpur,AK821,AirAsia,1h 20m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:07.884751,2026-02-09T20:33:43.330134
2026-02-10,HKT,departure,17:10,BKK Bangkok,TG216,Thai Airways,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:07.941039,2026-02-09T20:33:43.330146
2026-02-10,HKT,departure,17:20,BKK Bangkok,PG284,Bangkok Airways,1h 35m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:07.998883,2026-02-09T20:33:43.330152
2026-02-10,HKT,departure,17:25,DMK Bangkok,FD3018,Thai AirAsia,1h 25m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:08.057506,2026-02-09T20:33:43.330159
2026-02-10,HKT,departure,17:25,CAN Guangzhou,CZ6064,China Southern,3h 40m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:08.113736,2026-02-09T20:34:01.111026
2026-02-10,HKT,departure,17:30,USM Koh Samui,PG404,Bangkok Airways,0h 55m,True,True,,OK,route_and_airline_match,2026-02-09T13:37:08.170619,2026-02-09T20:34:01.571337
2026-02-10,HKT,departure,17:30,BKK Bangkok,VZ307,Vietjet Thailand,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:08.229868,2026-02-09T20:34:01.571380
2026-02-10,HKT,departure,17:45,DPS Denpasar,QZ247,Indonesia AirAsia,4h 0m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:08.285520,2026-02-09T20:34:18.166227
2026-02-10,HKT,departure,17:45,UBN Ulaanbaatar,OM706,Miat - Mongolian Airlines,6h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:08.341415,2026-02-09T20:34:32.240023
2026-02-10,HKT,departure,18:00,SIN Singapore,SQ735,Singapore Airlines,2h 0m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:08.398416,2026-02-09T20:34:32.240108
2026-02-10,HKT,departure,18:05,DMK Bangkok,FD3022,Thai AirAsia,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:08.454228,2026-02-09T20:34:32.240153
2026-02-10,HKT,departure,18:10,TPE Taipei,IT504,Tigerair Taiwan,4h 15m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:08.509987,2026-02-09T20:34:49.721266
2026-02-10,HKT,departure,18:15,DMK Bangkok,SL769,Thai Lion Air,1h 25m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:08.565640,2026-02-09T20:34:49.721312
2026-02-10,HKT,departure,18:15,SHJ Sharjah,G9715,Air Arabia,6h 50m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:08.623764,2026-02-09T20:34:49.721362
2026-02-10,HKT,departure,18:20,DMK Bangkok,DD531,Nok Air,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:08.684726,2026-02-09T20:34:49.721370
2026-02-10,HKT,departure,18:20,KUL Kuala Lumpur,MH791,Malaysia Airlines,1h 35m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:08.746908,2026-02-09T20:34:49.721400
2026-02-10,HKT,departure,18:25,PEK Beijing,CA822,Air China,5h 25m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:08.804263,2026-02-09T20:35:05.541511
2026-02-10,HKT,departure,18:40,DMK Bangkok,SL761,Thai Lion Air,1h 25m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:08.862771,2026-02-09T20:35:05.541654
2026-02-10,HKT,departure,18:50,TFU Chengdu,3U3932,Sichuan Airlines,3h 35m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:08.920542,2026-02-09T20:35:05.541783
2026-02-10,HKT,departure,18:55,CNX Chiang Mai,FD3167,Thai AirAsia,2h 0m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:08.977698,2026-02-09T20:35:05.541917
2026-02-10,HKT,departure,19:05,DXB Dubai,EK379,Emirates,6h 35m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:09.037969,2026-02-09T20:35:21.553848
2026-02-10,HKT,departure,19:10,MCT Muscat,WY832,Oman Air,6h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:09.095620,2026-02-09T20:35:36.430713
2026-02-10,HKT,departure,19:10,KUL Kuala Lumpur,AK827,AirAsia,1h 35m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:09.151710,2026-02-09T20:35:36.430725
2026-02-10,HKT,departure,19:25,BKK Bangkok,TG218,Thai Airways,1h 35m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:09.212210,2026-02-09T20:35:36.430751
2026-02-10,HKT,departure,19:35,DMK Bangkok,DD533,Nok Air,1h 30m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:09.272201,2026-02-09T20:35:36.430762
2026-02-10,HKT,departure,19:35,KMG Kunming,MU5094,China Eastern,3h 35m,True,True,Boeing 737-500 (winglets) Passenger,OK,route_and_airline_match,2026-02-09T13:37:09.332260,2026-02-09T20:35:57.166752
2026-02-10,HKT,departure,19:50,BKK Bangkok,PG278,Bangkok Airways,1h 35m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:09.392033,2026-02-09T20:35:57.166958
2026-02-10,HKT,departure,19:55,USM Koh Samui,PG258,Bangkok Airways,0h 55m,True,True,,OK,route_and_airline_match,2026-02-09T13:37:09.450548,2026-02-09T20:35:57.665810
2026-02-10,HKT,departure,20:00,DMK Bangkok,FD3010,Thai AirAsia,1h 25m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:09.514457,2026-02-09T20:35:57.665837
2026-02-10,HKT,departure,20:05,TYN Taiyuan,MU7402,China Eastern,4h 50m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:09.571972,2026-02-09T20:36:14.296335
2026-02-10,HKT,departure,20:15,SIN Singapore,SQ739,Singapore Airlines,2h 10m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:09.629458,2026-02-09T20:36:14.296372
2026-02-10,HKT,departure,20:20,SIN Singapore,TR653,Scoot,1h 55m,False,False,,NOT_FOUND,flight_not_in_reference,2026-02-09T13:37:09.686503,2026-02-09T20:36:14.296380
